3.8234 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
80.0669 	EXP 	fixation: autoDraw = False
80.0669 	EXP 	grating: autoDraw = False
80.0669 	EXP 	grating: ori = 0.0
80.0669 	EXP 	fixation: autoDraw = True
81.0671 	EXP 	fixation: autoDraw = False
81.0671 	EXP 	grating: autoDraw = True
81.3675 	EXP 	grating: autoDraw = False
81.5057 	EXP 	New trial (rep=34, index=0): None
81.5098 	DATA 	Keypress: up
81.5175 	EXP 	fixation: autoDraw = False
81.5175 	EXP 	grating: autoDraw = False
81.5175 	EXP 	grating: ori = -2.0
81.5175 	EXP 	fixation: autoDraw = True
82.5175 	EXP 	fixation: autoDraw = False
82.5175 	EXP 	grating: autoDraw = True
82.8174 	EXP 	grating: autoDraw = False
82.9210 	DATA 	Keypress: down
82.9389 	EXP 	New trial (rep=35, index=0): None
82.9504 	EXP 	fixation: autoDraw = False
82.9504 	EXP 	grating: autoDraw = False
82.9504 	EXP 	grating: ori = 1.0
82.9504 	EXP 	fixation: autoDraw = True
83.9506 	EXP 	fixation: autoDraw = False
83.9506 	EXP 	grating: autoDraw = True
84.2507 	EXP 	grating: autoDraw = False
84.4559 	EXP 	New trial (rep=36, index=0): None
84.4642 	DATA 	Keypress: up
84.4670 	EXP 	fixation: autoDraw = False
84.4670 	EXP 	grating: autoDraw = False
84.4670 	EXP 	grating: ori = 0.0
84.4670 	EXP 	fixation: autoDraw = True
85.4676 	EXP 	fixation: autoDraw = False
85.4676 	EXP 	grating: autoDraw = True
85.7673 	EXP 	grating: autoDraw = False
85.8078 	EXP 	New trial (rep=37, index=0): None
85.8124 	DATA 	Keypress: down
85.8170 	EXP 	fixation: autoDraw = False
85.8170 	EXP 	grating: autoDraw = False
85.8170 	EXP 	grating: ori = 2.0
85.8170 	EXP 	fixation: autoDraw = True
86.8176 	EXP 	fixation: autoDraw = False
86.8176 	EXP 	grating: autoDraw = True
87.1176 	EXP 	grating: autoDraw = False
87.1229 	EXP 	New trial (rep=38, index=0): None
87.1263 	DATA 	Keypress: up
87.1341 	EXP 	fixation: autoDraw = False
87.1341 	EXP 	grating: autoDraw = False
87.1341 	EXP 	grating: ori = 2.0
87.1341 	EXP 	fixation: autoDraw = True
88.1340 	EXP 	fixation: autoDraw = False
88.1340 	EXP 	grating: autoDraw = True
88.4340 	EXP 	grating: autoDraw = False
88.6075 	EXP 	New trial (rep=39, index=0): None
88.6116 	DATA 	Keypress: up
88.6173 	EXP 	fixation: autoDraw = False
88.6173 	EXP 	grating: autoDraw = False
88.6173 	EXP 	grating: ori = -2.0
88.6173 	EXP 	fixation: autoDraw = True
89.6176 	EXP 	fixation: autoDraw = False
89.6176 	EXP 	grating: autoDraw = True
89.9174 	EXP 	grating: autoDraw = False
89.9736 	EXP 	New trial (rep=40, index=0): None
89.9794 	DATA 	Keypress: up
89.9840 	EXP 	fixation: autoDraw = False
89.9840 	EXP 	grating: autoDraw = False
89.9840 	EXP 	grating: ori = -3.0
89.9840 	EXP 	fixation: autoDraw = True
90.9846 	EXP 	fixation: autoDraw = False
90.9846 	EXP 	grating: autoDraw = True
91.2846 	EXP 	grating: autoDraw = False
91.4732 	EXP 	New trial (rep=41, index=0): None
91.4779 	DATA 	Keypress: down
91.4841 	EXP 	fixation: autoDraw = False
91.4841 	EXP 	grating: autoDraw = False
91.4841 	EXP 	grating: ori = 4.0
91.4841 	EXP 	fixation: autoDraw = True
92.4843 	EXP 	fixation: autoDraw = False
92.4843 	EXP 	grating: autoDraw = True
92.7843 	EXP 	grating: autoDraw = False
92.8254 	EXP 	New trial (rep=42, index=0): None
92.8294 	DATA 	Keypress: down
92.8340 	EXP 	fixation: autoDraw = False
92.8340 	EXP 	grating: autoDraw = False
92.8340 	EXP 	grating: ori = -5.0
92.8340 	EXP 	fixation: autoDraw = True
93.8345 	EXP 	fixation: autoDraw = False
93.8345 	EXP 	grating: autoDraw = True
94.1344 	EXP 	grating: autoDraw = False
94.2894 	EXP 	New trial (rep=43, index=0): None
94.2935 	DATA 	Keypress: down
94.3007 	EXP 	fixation: autoDraw = False
94.3007 	EXP 	grating: autoDraw = False
94.3007 	EXP 	grating: ori = 0.0
94.3007 	EXP 	fixation: autoDraw = True
95.3012 	EXP 	fixation: autoDraw = False
95.3012 	EXP 	grating: autoDraw = True
95.6015 	EXP 	grating: autoDraw = False
95.8575 	EXP 	New trial (rep=44, index=0): None
95.8613 	DATA 	Keypress: up
95.8676 	EXP 	fixation: autoDraw = False
95.8676 	EXP 	grating: autoDraw = False
95.8676 	EXP 	grating: ori = 0.0
95.8676 	EXP 	fixation: autoDraw = True
96.8682 	EXP 	fixation: autoDraw = False
96.8682 	EXP 	grating: autoDraw = True
97.1680 	EXP 	grating: autoDraw = False
97.1906 	EXP 	New trial (rep=45, index=0): None
97.1941 	DATA 	Keypress: down
97.2009 	EXP 	fixation: autoDraw = False
97.2009 	EXP 	grating: autoDraw = False
97.2009 	EXP 	grating: ori = 0.0
97.2009 	EXP 	fixation: autoDraw = True
98.2014 	EXP 	fixation: autoDraw = False
98.2014 	EXP 	grating: autoDraw = True
98.5010 	EXP 	grating: autoDraw = False
98.5906 	DATA 	Keypress: down
98.6068 	EXP 	New trial (rep=46, index=0): None
98.6178 	EXP 	fixation: autoDraw = False
98.6178 	EXP 	grating: autoDraw = False
98.6178 	EXP 	grating: ori = 3.0
98.6178 	EXP 	fixation: autoDraw = True
99.6183 	EXP 	fixation: autoDraw = False
99.6183 	EXP 	grating: autoDraw = True
99.9180 	EXP 	grating: autoDraw = False
100.0065 	DATA 	Keypress: down
100.0233 	EXP 	New trial (rep=47, index=0): None
100.0347 	EXP 	fixation: autoDraw = False
100.0347 	EXP 	grating: autoDraw = False
100.0347 	EXP 	grating: ori = 0.0
100.0347 	EXP 	fixation: autoDraw = True
101.0344 	EXP 	fixation: autoDraw = False
